market,ticker,total_cases,direction_hit_rate,avg_open_error_pct,avg_close_error_pct,entry_touch_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,main_failure_reason,recommended_atr_adjustment,recommended_entry_adjustment,recommended_tp_adjustment,recommended_confidence_penalty
한국주식,036930,2,0.0000,5.3808,19.6859,100.0000,100.0000,100.0000,-5.6225,방향 예측 실패,increase_atr_range,lower_entry_or_widen_stop,keep,20
한국주식,042660,2,0.0000,0.9967,1.9103,100.0000,0.0000,0.0000,-0.1596,익절 목표 과도,keep,keep,lower_tp1_target,10
한국주식,042700,2,0.0000,1.3554,12.3391,100.0000,0.0000,0.0000,-5.5164,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,15
한국주식,047810,2,100.0000,0.9620,4.5283,100.0000,100.0000,0.0000,-2.7215,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,10
한국주식,051910,2,100.0000,0.2577,3.1044,100.0000,0.0000,0.0000,-4.1599,익절 목표 과도,increase_atr_range,keep,lower_tp1_target,0
한국주식,055550,2,0.0000,0.2066,1.7562,100.0000,100.0000,0.0000,-1.8280,손절선 과다 터치,keep,lower_entry_or_widen_stop,lower_tp1_target,15
한국주식,058470,2,100.0000,1.4481,9.8329,100.0000,100.0000,0.0000,-3.4333,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,10
한국주식,064350,2,100.0000,0.6014,2.8799,100.0000,100.0000,0.0000,-4.2882,손절선 과다 터치,keep,lower_entry_or_widen_stop,lower_tp1_target,5
한국주식,066970,2,100.0000,0.0135,4.3048,100.0000,100.0000,0.0000,-7.5153,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,10
한국주식,067310,2,100.0000,7.3442,15.5562,0.0000,0.0000,100.0000,,갭상승 과소평가,increase_atr_range,move_entry_closer_to_tradeable_range,keep,5
